start,stop,pi,theta_w,segregating_sites,singletons,max_daf,tajimas_d
35500185,35600185,0.0023726720775951674,0.007122421240637951,405.0,180.0,0.97,-2.1337238534384704
35600185,35700185,0.0005240964881249259,0.002024141272635836,435.0,183.0,0.995,-2.3729723477468596
35700185,35800185,0.00038029218868218225,0.0012296316942267962,324.0,146.0,0.9,-2.2039143956980056
35800185,35900185,0.0004280077453009721,0.0017067598730189037,374.0,161.0,0.955,-2.395015325755558
35900185,36000185,0.00046386794290723864,0.001541068188300778,381.0,146.0,0.995,-2.234935974352239
36000185,36100185,0.0007762319514747896,0.0021603460365212652,250.0,103.0,0.99,-2.0359318870801246
36100185,36200185,0.0008480404523959797,0.0025630218774912103,337.0,138.0,0.99,-2.1361305284993004
36200185,36300185,0.0007742182849151292,0.0028354823280438797,483.0,203.0,0.915,-2.330155852561129
36300185,36400185,0.001055150931490269,0.003641453535501061,257.0,101.0,0.675,-2.258031589056218
36400185,36500185,0.0004940548455071819,0.0014155870939643706,319.0,121.0,0.985,-2.076672915188403
